gaze_X, gaze_Y, pos_X, pos_Y, fixationTime
476,72,-643,1358,0
477,71,-648,1360,10
480,67,-654,1361,0
478,62,-659,1359,0
477,63,-659,1359,10
474,64,-660,1360,21
492,38,-663,1366,0
486,38,-662,1367,10
478,37,-662,1367,22
473,35,-662,1367,34
468,33,-660,1367,45
463,33,-660,1367,53
459,34,-659,1367,66
455,36,-657,1369,78
453,39,-657,1369,87
451,41,-657,1369,100
450,41,-655,1370,111
449,39,-655,1370,120
448,38,-654,1371,133
448,37,-646,1371,145
511,43,-646,1371,0
1140,111,-640,1372,0
1288,127,-640,1372,8
1384,134,-640,1372,20
1463,139,-638,1372,32
1511,142,-638,1372,42
1544,144,-638,1372,54
1565,147,-636,1372,65
1572,150,-636,1372,75
1576,154,-636,1372,86
1578,157,-633,1371,99
1577,159,-633,1371,109
1570,156,-630,1373,0
1568,155,-630,1374,12
1567,152,-627,1374,24
1565,151,-627,1374,34
1567,151,-626,1374,47
1579,150,-621,1374,0
1591,147,-614,1368,11
1620,139,-614,1368,22
1646,129,-613,1367,34
1672,119,-609,1366,45
1696,111,-609,1366,55
1705,107,-608,1366,67
1721,101,-604,1367,79
1734,95,-604,1367,88
1743,90,-604,1367,100
1750,87,-599,1367,112
1749,87,-599,1367,121
1749,87,-599,1367,133
1749,87,-594,1368,145
1751,87,-594,1368,155
1753,88,-594,1368,167
1754,88,-588,1368,180
1755,89,-588,1368,187
1755,90,-588,1368,200
1755,91,-577,1367,211
1969,105,-567,1366,0
2965,287,-564,1368,0
3045,327,-563,1375,12
3035,362,-563,1375,21
2999,393,-563,1376,34
2961,420,-561,1377,45
2899,455,-562,1380,0
2878,458,-562,1380,10
2860,459,-562,1381,22
2835,460,-563,1383,33
2835,460,-563,1383,43
2840,462,-563,1384,55
2843,463,-565,1386,67
2847,464,-565,1386,77
2849,466,-566,1386,87
2847,467,-567,1388,100
2846,467,-567,1388,110
2844,466,-568,1388,121
2843,465,-569,1388,132
2842,464,-569,1388,142
2843,464,-570,1388,155
2845,462,-571,1386,165
2848,461,-571,1386,176
2850,459,-572,1386,188
2853,459,-574,1386,200
2855,460,-574,1386,209
2856,462,-574,1386,220
2856,467,-577,1385,233
2855,470,-577,1385,242
2854,473,-577,1385,255
2853,476,-580,1385,266
2852,476,-580,1385,275
2852,476,-581,1385,288
2850,473,-583,1385,299
2848,469,-583,1385,310
2846,465,-584,1384,321
2841,463,-586,1383,334
2836,465,-586,1383,347
2832,468,-586,1382,354
2723,462,-597,1388,0
2538,448,-606,1406,12
1195,343,-619,1400,0
1077,354,-619,1400,9
1054,365,-620,1398,23
1029,379,-625,1396,33
1016,388,-625,1396,42
997,394,-626,1394,55
979,410,-629,1392,67
979,428,-629,1392,76
977,449,-630,1391,88
977,467,-632,1388,100
977,469,-633,1384,0
976,467,-633,1384,9
1314,993,-618,1377,0
1514,1307,-618,1377,9
1711,1623,-616,1374,21
1858,1865,-613,1370,33
1935,2000,-613,1370,42
1982,2083,-612,1369,55
2013,2138,-610,1368,66
2022,2159,-610,1368,76
2028,2175,-608,1367,88
2023,2157,-606,1365,0
2023,2126,-605,1364,11
2024,2094,-605,1364,20
2026,2065,-604,1363,33
2029,2052,-603,1362,45
2029,2036,-602,1360,0
2037,2019,-600,1357,0
2036,2018,-600,1355,12
2035,2017,-597,1352,24
2035,2017,-597,1352,32
2039,2022,-595,1351,45
2040,2023,-590,1351,58
2041,2024,-590,1351,67
2041,2027,-587,1352,79
1210,3313,-555,1341,0
1163,3396,-555,1341,9
1117,3471,-555,1341,21
1062,3558,-554,1349,34
836,3882,-555,1347,0
778,3967,-555,1347,9
743,4027,-555,1346,21
746,4032,-556,1342,33
752,4033,-556,1342,43
756,4029,-556,1342,54
757,4027,-554,1337,67
758,4030,-554,1337,76
760,4034,-554,1337,87
762,4036,-548,1332,100
764,4041,-548,1332,109
765,4042,-546,1332,120
767,4043,-540,1334,133
766,4045,-540,1334,143
764,4044,-539,1335,154
242,3294,-502,1338,0
238,3275,-486,1346,13
234,3253,-486,1346,23
228,3231,-480,1348,34
221,3208,-463,1352,47
222,3178,-463,1352,56
223,3154,-457,1354,68
227,3138,-442,1358,80
232,3131,-442,1358,89
227,3133,-437,1359,101
222,3133,-425,1361,113
218,3133,-425,1361,123
215,3131,-423,1361,135
211,3133,-411,1368,146
1239,1251,-396,1368,0
1311,1138,-396,1368,9
1382,1021,-396,1367,20
1432,939,-396,1368,33
1491,847,-396,1368,41
1556,748,-396,1369,54
1609,670,-397,1372,65
1653,607,-397,1372,78
1669,591,-398,1372,86
1684,576,-400,1373,99
1687,573,-400,1373,107
1689,573,-401,1373,119
1689,569,-405,1373,132
1691,568,-405,1373,141
1691,569,-406,1373,153
1693,570,-412,1375,166
1694,571,-412,1375,173
1694,569,-414,1374,187
1695,567,-419,1374,200
1693,564,-419,1374,208
1692,560,-422,1374,220
1690,557,-428,1374,233
1689,554,-428,1374,241
1690,552,-430,1374,253
1691,550,-437,1372,265
1694,549,-437,1372,275
1696,548,-439,1371,286
1698,548,-444,1370,299
1697,548,-444,1370,308
1696,547,-446,1369,319
1360,380,-456,1370,0
1277,348,-457,1367,12
1177,311,-457,1367,21
1119,292,-458,1368,32
1055,272,-460,1376,47
950,239,-460,1376,56
840,204,-460,1377,67
729,167,-459,1384,79
635,135,-459,1384,89
595,118,-459,1386,99
577,108,-457,1392,112
575,103,-457,1392,122
573,99,-457,1395,133
571,95,-454,1403,146
569,92,-454,1403,155
565,87,-454,1404,166
562,82,-448,1411,179
557,78,-448,1411,190
553,75,-447,1412,199
550,75,-442,1417,212
547,73,-442,1417,222
545,70,-441,1418,232
2129,196,-358,1438,0
3036,314,-338,1439,0
3002,276,-318,1440,13
2922,228,-317,1440,24
2843,182,-314,1441,33
2807,163,-303,1444,46
2784,151,-300,1444,57
2770,140,-299,1444,66
2758,128,-286,1448,81
2749,117,-284,1449,89
2742,110,-284,1449,100
2739,108,-270,1448,113
2737,109,-269,1448,123
2737,111,-268,1449,134
2737,114,-262,1451,146
2737,117,-261,1451,157
2742,115,-260,1450,166
2748,111,-256,1453,180
2754,106,-255,1453,190
2760,99,-255,1453,199
2762,97,-254,1454,214
2763,95,-254,1454,223
2765,94,-254,1455,234
2768,93,-256,1455,246
2770,92,-257,1455,257
2772,91,-258,1455,267
2772,90,-261,1456,279
2773,91,-263,1456,290
2774,92,-265,1457,300
2775,94,-270,1458,313
2776,96,-271,1458,322
2776,96,-274,1458,334
2440,50,-302,1441,0
1759,-13,-318,1440,0
1475,-24,-328,1437,12
1226,-29,-329,1438,29
1008,-32,-333,1441,33
785,-35,-342,1443,46
622,-39,-343,1443,55
462,-46,-344,1443,66
339,-50,-352,1439,78
321,-56,-354,1440,90
299,-76,-363,1447,0
298,-79,-365,1449,11
298,-82,-369,1454,24
295,-89,-369,1454,32
291,-95,-370,1454,44
285,-102,-375,1450,57
281,-108,-376,1451,67
279,-114,-382,1458,0
279,-114,-382,1458,10
279,-114,-385,1460,24
277,-114,-385,1460,32
274,-115,-386,1461,44
276,-135,-385,1458,0
277,-135,-385,1458,10
277,-133,-382,1455,25
272,-124,-382,1456,33
270,-119,-381,1457,44
272,-119,-379,1459,57
275,-119,-379,1459,67
276,-120,-378,1459,78
274,-119,-372,1457,90
272,-122,-372,1459,99
269,-125,-372,1459,110
267,-127,-366,1463,123
263,-131,-365,1462,133
258,-133,-365,1462,143
871,18,-333,1435,0
1440,344,-320,1433,0
1653,493,-315,1428,12
2011,845,-312,1424,0
2126,977,-307,1419,12
2191,1054,-306,1419,25
2205,1063,-304,1417,34
2220,1079,-300,1414,46
2219,1083,-299,1413,55
2233,1117,-297,1412,66
2244,1146,-294,1409,79
2241,1158,-294,1408,89
2237,1164,-293,1407,99
2232,1166,-289,1404,113
2227,1161,-289,1404,122
2227,1153,-286,1402,0
2223,1150,-286,1402,10
2219,1150,-286,1400,20
2215,1149,-284,1397,34
2212,1147,-284,1397,43
2213,1146,-284,1397,54
2216,1145,-283,1397,66
2218,1147,-283,1397,76
2220,1148,-282,1397,87
2263,1116,-284,1402,0
2300,1077,-284,1402,12
2328,940,-290,1397,0
2302,911,-291,1397,10
2276,881,-292,1395,22
2262,864,-295,1393,34
2255,856,-296,1393,43
2250,852,-297,1392,54
2244,847,-301,1391,67
2238,846,-301,1390,77
2232,846,-302,1390,87
2226,846,-306,1388,100
2222,850,-308,1387,110
2218,851,-309,1387,121
2216,852,-312,1384,133
2212,853,-313,1384,143
2209,853,-313,1382,154
2205,853,-318,1382,166
2201,852,-320,1382,177
2199,851,-321,1383,187
2199,852,-324,1383,200
2200,854,-325,1383,211
2202,856,-326,1383,221
2205,857,-330,1383,234
2206,855,-331,1384,244
2205,854,-332,1385,254
2204,852,-334,1386,267
2202,851,-335,1386,276
2198,851,-335,1387,288
2193,851,-338,1390,301
2185,848,-338,1390,311
2177,846,-340,1391,323
2104,766,-345,1387,0
2057,717,-345,1387,10
2019,683,-345,1387,21
1986,653,-348,1385,34
1954,625,-348,1385,43
1931,605,-348,1386,54
1888,567,-350,1388,68
1847,530,-350,1387,77
1811,498,-351,1387,88
1783,474,-351,1386,101
1777,468,-351,1386,110
1771,463,-351,1387,121
1735,405,-351,1394,0
1721,376,-351,1394,11
1706,343,-351,1394,22
1700,330,-350,1396,34
1693,314,-350,1396,44
1685,298,-350,1396,55
1678,282,-349,1399,68
1672,268,-348,1399,78
1667,253,-348,1400,88
1663,232,-348,1400,103
1661,213,-348,1403,110
1664,177,-348,1403,121
1668,146,-350,1409,133
1673,123,-350,1410,143
1679,103,-350,1411,155
1680,98,-351,1415,167
1682,94,-351,1416,176
1683,91,-352,1417,188
1684,88,-352,1417,200
1682,87,-352,1422,210
1680,84,-352,1422,222
1676,78,-353,1426,233
1673,73,-354,1427,243
1671,69,-354,1428,256
1671,67,-354,1430,267
1672,67,-354,1431,277
1674,66,-354,1430,288
1705,65,-355,1433,0
1723,66,-358,1443,10
1768,68,-357,1445,22
1804,70,-357,1445,32
1840,71,-358,1451,43
1874,71,-358,1451,53
1883,71,-358,1453,68
1893,70,-358,1458,78
1902,68,-358,1458,86
1908,66,-357,1458,99
1902,67,-355,1464,109
1890,69,-355,1463,121
1871,67,-355,1463,131
1852,64,-352,1464,144
1838,61,-351,1465,154
1825,57,-351,1466,165
1818,57,-349,1470,177
1813,53,-349,1470,187
1813,47,-349,1470,197
1815,41,-347,1470,210
1820,37,-346,1471,220
1825,37,-346,1471,231
1828,37,-346,1471,243
1830,38,-347,1471,253
1830,37,-348,1471,264
1833,35,-350,1471,277
1837,32,-350,1471,287
1843,30,-351,1470,297
1848,28,-354,1470,311
1850,26,-355,1470,320
1849,25,-356,1469,332
1846,23,-360,1466,345
1844,22,-361,1466,354
1842,21,-361,1466,365
1841,20,-365,1465,378
1838,19,-366,1465,388
1835,19,-367,1464,398
1831,18,-370,1464,411
1824,15,-370,1464,420
1820,12,-370,1464,431
1818,11,-373,1461,444
1819,13,-373,1460,454
1823,17,-373,1459,465
1830,21,-375,1457,477
1833,23,-375,1457,486
1836,22,-376,1456,498
1838,22,-379,1455,510
1838,22,-379,1455,520
1840,23,-379,1454,531
1837,28,-382,1450,543
1834,32,-382,1450,553
1830,35,-383,1449,564
1826,35,-385,1446,580
1825,33,-386,1445,586
1825,31,-386,1445,597
1825,30,-389,1442,610
1825,33,-389,1442,620
1825,38,-392,1437,0
1826,39,-392,1437,9
1828,41,-392,1436,20
1831,43,-393,1433,33
1832,47,-393,1433,42
1832,53,-394,1432,54
1832,56,-395,1430,66
1831,58,-395,1430,75
1831,59,-395,1429,87
1831,58,-396,1425,99
1830,57,-396,1425,110
1830,56,-397,1424,120
1830,52,-399,1421,132
1829,49,-399,1421,142
1830,45,-399,1421,153
1830,44,-401,1418,166
1829,48,-401,1418,176
1828,53,-401,1418,187
1826,59,-403,1414,199
1825,62,-403,1414,209
1824,62,-405,1414,221
1824,63,-407,1413,232
1823,61,-407,1414,242
1823,61,-408,1412,253
1824,61,-411,1409,265
1820,62,-411,1409,274
1816,65,-413,1408,287
1814,65,-418,1405,299
1811,67,-418,1405,308
1811,71,-425,1401,0
1808,74,-427,1400,11
